,书名,价格(元）
53,学Python 不加班 轻松实现办公自动化,84.15
54,程序设计竞赛训练营：基础与数学概念,101.92
55,持续集成与持续交付实战：用Jenkins、Travis CI和CircleCI构建和发布大规模高质量软件,76.42
56,Python金融大数据分析 第2版,118.15
57,C和指针,84.15
58,“笨办法”学Python 3,50.15
59,CSS新世界,110.42
60,Python编程入门与实战,101.83
61,Python核心编程（第3版）习题解答,84.15
62,Python算法交易实战,76.33
63,C++语言的设计和演化,84.15
64,C++编程规范：101条规则、准则与最佳实践,50.92
65,Qt 5.9 C++开发指南,84.83
66,Python核心编程（第3版）,84.15
67,Python极客项目编程,58.65
68,产品经理成长笔记,84.83
69,C Primer Plus 第6版 中文版习题解答,76.33
70,代码中的软件工程,76.42
71,区块链国产化实践指南：基于Fabric 2.0,84.83
72,Terraform 实战,84.92
73,接口测试方法论,67.92
74,Vue.js全平台前端实战,76.42
75,STM32Cube高效开发教程（高级篇）,110.42
76,OpenCV图像处理入门与实践,67.92
77,GPU编程实战（基于Python和CUDA）,67.92
78,零基础入门学习Web开发（HTML5 & CSS3）,84.83
79,Python期货量化交易,93.33
80,设计模式之美,84.83
81,金融中的人工智能,67.92
82,VMware vSphere 7.0虚拟化架构实战指南,84.83
83,与量子比特共舞,93.33
84,Python编程实战 妙趣横生的项目之旅,84.92
85,区块链技术本质与应用,50.92
86,从零开始：数字图像处理的编程基础与应用,67.92
87,青少年编程魔法课堂 Python图形化创意编程,50.92
88,机器学习工程实战,101.15
89,解构领域驱动设计,127.42
90,15天快速上手Python,67.83
91,Python预测分析实战,67.83
92,动态表情设计实战,59.33
93,C语言程序设计 习题解答,59.42
94,开源之迷,67.92
95,读源码学架构：系统架构师思维训练之道,59.42
96,物联网全栈开发原理与实战,67.92
97,数据结构 Python语言描述 第2版,101.92
98,罗布乐思开发官方指南 从入门到实践,101.92
99,Python机器学习经典实例（第2版）,118.83
100,从零开始：快速入门Unity 3D游戏开发,59.42
101,量子计算：一种应用方法,101.83
102,Spring Security原理与实战,67.92
103,JavaScript面向对象编程指南（第3版）,118.83
104,单片机开发从入门到实践,50.92
105,Java EE的轻量级开发利剑：Spring Boot实战,92.65
106,Python医学数据分析入门,76.33
107,人工智能等级考试一级教程 人工智能通识,50.83
108,Redis入门指南 第3版,50.92
109,R语言高效能实战：更多数据和更快速度,67.92
110,Metasploit Web渗透测试实战,59.42
111,智能前端技术与实践,84.83
112,行星,101.92
113,Java完全自学教程,67.92
114,数亦有道 Python数据科学指南,76.42
115,微信小程序·云开发：快速入门与实践,84.83
116,从零开始：机器学习的数学原理和算法实践,58.65
117,Spark和Python机器学习实战：预测分析核心方法（第2版）,84.92
118,站点可靠性工程（SRE）实战,67.92
119,TensorFlow深度学习项目实战,67.92
120,Python 3程序开发指南（第2版•修订版）,84.92
121,数据结构与算法之美（全彩印刷）,101.83
122,游戏引擎原理与实践 卷2 高级技术,118.92
123,奔跑吧Linux内核（第2版）卷1：基础架构,118.15
124,写给青少年的人工智能 发展,50.15
125,Kali Linux2 网络渗透测试实践指南 第2版,75.65
126,基于Python的金融分析与风险管理（第2版）,142.80
127,Excel金融建模,76.42
128,数据分析咖哥十话 从思维到实践促进运营增长,76.42
129,图解Spark 大数据快速分析实战,93.42
130,Java从入门到精通(第4版),76.42
131,从Power BI 到 Power Platform：低代码应用开发实战,76.42
132,青少年编程魔法课堂 C++图形化创意编程,50.92
133,写给青少年的人工智能  应用,50.15
134,职场写作很简单,33.92
135,Linux就该这么学（第2版）,84.92
136,深度学习入门与TensorFlow实践,84.92
137,通信那些事儿（上册）,50.92
138,Excel经典教程——公式与函数,127.42
139,写作疗愈 用写作赶走焦虑、拖延症、坏情绪,67.92
140,软件测试实战指南,67.92
141,MySQL是怎样使用的 快速入门MySQL,50.92
142,1小时漫游量子世界,33.92
143,Python从入门到精通,84.83
144,离散的魅力：世界为何数字化,59.42
145,漏洞管理实战：网络风险管理的策略方法,59.33
146,不正经的科学——人类睡眠的另类研究,42.42
147,深信服安全服务工程师实战,59.33
148,统信UOS操作系统使用教程 （第2版）,59.42
149,【抢读版】HBase入门与实践（第2版）,59.33
150,Word必修课——高手这样用Word,67.92
151,华为HCIA路由交换认证指南,84.92
152,会说话的数据,74.80
153,金融中的机器学习,101.92
154,Flutter App开发：从入门到实战,84.92
155,产业数字化转型精要：方法与实践,67.92
156,大数据测试技术与实践,100.30
157,Excel VBA案例实战,76.42
158,深入浅出计算机网络,93.42
159,C++实战笔记,84.83
160,秒懂设计模式,67.92
161,敏捷测试 以持续测试促进持续交付,110.42
162,机器学习公式详解,50.83
163,Python图像处理实战,75.65
164,Knative快速入门与实践,50.83
165,通信那些事儿（下册）,50.92
166,统信UOS操作系统基础与应用教程,50.92
167,白话网络安全,59.42
168,快手生意增长指南：方法与案例,58.65
169,Word+Excel+PPT+PS+远程办公+PDF文件处理6合1办公高手速成,84.92
170,Python少儿趣味编程：海龟绘图,59.42
171,统信UOS应用开发实战教程,42.42
172,统信UOS系统管理教程,50.92
173,深入浅出React Native,59.42
174,Java代码审计 入门篇,110.42
175,R语言金融分析与建模,84.83
176,持续测试,67.83
177,仰望星空：中国历史里的天文密码,50.83
178,C语言程序设计简明教程  Qt实战,42.42
179,数据结构与算法分析：C++语言描述（英文版·第4版）,110.42
180,人力资源数字化转型,59.33
181,统信UOS应用开发进阶教程,42.42
182,深度学习与围棋,84.15
183,青少年Python趣味编程,50.92
184,UNIX传奇：历史与回忆,75.65
185,股票大作手回忆录 丁圣元注疏版,50.83
186,C和C++游戏趣味编程（全彩印刷）,84.15
187,数学家那些事儿,59.42
188,朱伟恋词 考研英语全真题源报刊 7000词识记与应用大全,74.80
189,Jupyter入门与实战,67.83
190,大数据真相：数字经济时代你需要知道的事儿,59.42
191,网络系统规划设计,59.42
192,聪明的算法,83.30
193,学术期刊论文写作技巧与实战,59.42
194,深入解析Windows操作系统（卷2）  （英文版·第7版）,144.42
195,如何拥抱一只刺猬：恋爱与婚姻中的人格识别、接纳与付出,50.83
196,精通Rust 第2版,118.15
197,VMware NSX网络虚拟化入门,84.83
198,深度学习（精装版）,253.30
199,计算广告：互联网商业变现的市场与技术（第3版）,84.83
200,极简几何史,50.83
201,Excel财务数据处理与分析实战技巧精粹,76.42
202,AutoCAD 2022中文版从入门到精通,67.83
203,人工智能与大数据（卷1）：基础概念和模型,101.92
204,华为通信科技史话,50.92
205,Kubernetes修炼手册,59.42
206,奔跑吧Linux内核（第2版）卷2：调试与案例分析,93.42
207,Python计算机视觉和自然语言处理 开发机器人应用系统,76.42
208,企业级云原生架构 技术、服务与实践,93.24
209,Excel技术与应用大全,101.92
210,趣味数学简史：数学是这样诞生的,59.42
211,编程竞赛宝典 C++语言和算法入门,76.42
212,算法设计,101.15
213,荒野守望：野生世界观察笔记,84.92
214,从0到1——Python数据分析,76.42
215,善用图表——一看就懂的商业数据表达术,50.83
216,青少年生物AR智能学习卡,253.30
217,Linux设备驱动开发,126.65
218,时间管理很简单,33.92
219,高效阅读很简单,33.92
220,Flink核心技术：源码剖析与特性开发,93.42
221,手把手教你RISC-V CPU（上）——处理器设计,93.33
222,SolidWorks 2022中文版基础教程,59.42
223,掌控情绪 别让坏脾气毁了你一生,50.92
224,精通Linux内核开发,76.42
225,DevOps权威指南 IT效能新基建,101.92
226,善工利器 程序员管理范式,101.83
227,MES在智能制造中的应用与实践,91.80
228,金融网络安全,76.33
229,图解Java并发编程,93.42
230,Selenium自动化测试完全指南 基于Python,84.15
231,编写整洁的Python代码,67.15
232,软件自动化测试实战 基于开源测试工具,118.92
233,人工智能算法 卷3 深度学习和神经网络,76.42
234,GAN实战,58.65
235,卓有成效的敏捷,76.42
236,OpenCV 4详解：基于Python,84.83
237,从零开始：Qt可视化程序设计基础教程,59.42
238,数据结构与算法详解,101.15
239,区块链架构与实现：Cosmos详解,84.83
240,机器学习算法评估实战（全彩印刷）,84.92
241,和秋叶一起学——秒懂Word（全彩版）,42.42
242,学Python也可以这么有趣,59.42
243,PyTorch深度学习和图神经网络（卷2）——开发应用,110.33
244,思科网络技术学院教程（第7版）：企业网络+安全+自动化,76.50
245,从0到1——Python数据可视化,76.42
246,仁者无敌面积法：巧思妙解学几何,59.42
247,和秋叶一起学——Word Excel PPT办公应用从新手到高手,50.92
248,网络安全国际学术研究进展,109.48
249,高效制胜：程序员面试典型题解,67.92
250,Unity 3D脚本编程与游戏开发,67.92
251,色彩的秘密,76.42
252,从0到1：ES6快速上手,59.42
253,精通ASP.NET Core MVC 第7版,144.42
254,不急不吼，让孩子自主学习：8个好习惯21天轻松养成,50.92
255,深入理解Zabbix监控系统,84.92
256,Spring Boot+MVC实战指南,84.92
257,考试心理学：心理素质与考场表现,50.83
258,Netty原理剖析与实战,101.83
259,JavaScript全栈开发,84.92
260,MATLAB App Designer从入门到实践,67.92
261,Excel办公高手实战应用从入门到精通,76.42
262,趣学3D One——青少年三维创意与设计（第2版）,67.92
263,21天学通Java 第8版,84.92
264,金融信用评估——大数据背景下的统计学与机器学习应用,67.92
265,手把手教你RISC-V CPU（下）——工程与实践,75.65
266,深入浅出 ASP.NET Core,118.15
267,写给青少年的人工智能：起源,50.15
268,华为LiteOS：快速上手物联网应用开发,59.42
269,自然语言处理实战 利用Python理解、分析和生成文本,84.15
270,Adobe Photoshop CC 2019经典教程（彩色版）,91.80
271,软件调试 第2版 卷2 Windows平台调试 上、下册,169.15
272,PyTorch深度学习和图神经网络（卷1）——基础知识,110.33
273,技术团队管理者的第一堂管理课,50.15
274,自行车骑行训练突破：力量与体能训练指南,59.33
275,和秋叶一起学——秒懂PPT（全彩版）,42.42
276,深入解析Windows操作系统 第7版 卷1,152.92
277,你的天赋价值千万,50.92
278,领域特定语言,127.42
279,R数据可视化手册 第2版,127.42
280,程序员的数学基础课 从理论到Python实践,75.65
281,演化学习：理论与算法进展,84.83
282,大规模C++软件开发 卷1：过程与架构（英文版）,169.92
283,星座物语：走进诗意的星空,67.92
284,机器学习的数学,92.65
285,MySQL是怎样运行的：从根儿上理解 MySQL,84.15
286,Python渗透测试实战,67.15
287,Python深度学习从原理到应用,76.42
288,HTML CSS JavaScript入门经典 第3版,169.92
289,趣味掌控板编程,67.92
290,网络调研技术与实战,50.92
291,画中有星空：中国古画中的天文世界,143.65
292,SolidWorks 2022中文版机械设计从入门到精通,67.92
293,Python编程超简单,59.42
294,Cisco软件定义广域网（SD-WAN）,118.92
295,弱品牌，强品牌：数字时代增长知与行,50.92
296,零基础学机器学习,76.33
297,我的昆虫记,84.83
298,Excel 高效办公——数据处理与分析（案例版）,76.42
299,深度学习之摄影图像处理：核心算法与案例精粹,101.83
300,Jupyter金融应用 从入门到实践,84.83
301,Python深度学习与项目实战,67.15
302,Python趣味创意编程,67.15
303,人工智能和蓝牙硬件开发实战,76.42
304,青少年化学AR智能学习卡,253.30
305,Python游戏趣味编程,58.65
306,Docker实践（第2版）,84.15
307,Linux命令行大全 第2版,109.65
308,算法详解 卷2 图算法和数据结构,41.65
309,头骨之书（珍藏版）,253.30
310,鹿人说 电商客服实战技巧精粹,58.65
311,内向优势：性格内向者的潜在竞争力,50.83
312,PyTorch生成对抗网络编程,67.15
313,社群营销实战手册：流量运营+私域转化+团队建设+品牌打造,92.65
314,数据分析高手这样用Excel图表,76.42
315,全栈性能测试修炼宝典 JMeter实战（第2版）,93.42
316,PaddlePaddle Fluid 深度学习入门与实战,50.83
317,编程的修炼,46.75
318,西门子Process Simulate运动模拟仿真实战,67.92
319,写给 青少年的人工智能 实践,50.15
320,奔跑吧Linux内核入门篇（第2版）,109.65
321,虚拟化高性能NoSQL存储案例精粹 Redis+Docker,142.80
322,C语言从入门到精通（第4版）,76.42
323,视觉之旅：神秘的星际空间（彩色典藏版）,76.42
324,视觉之旅：神秘的机器世界（彩色典藏版）,84.92
325,HTML+CSS+JavaScript网页制作 从入门到精通,59.42
326,软技能2 软件开发者职业生涯指南,84.15
327,时光穿越之旅2022年日历,109.65
328,调色师手册：色彩风格宝典,101.15
329,SolidWorks 2021中文版机械设计从入门到精通,84.83
330,TensorFlow机器学习,67.92
331,Windows 编程调试技术内幕,110.42
332,数码探科学,58.65
333,身边有科学：包罗万象的物理,33.83
334,Go语言趣学指南,58.65
335,Selenium自动化测试实战 基于Python,67.15
336,人工智能算法（卷2）：受大自然启发的算法,58.65
337,全国计算机等级考试教程 二级Python语言程序设计,35.70
338,个人品牌技能指南：9种技能打造个人影响力,59.42
339,AutoCAD 2020中文版三维造型设计从入门到精通,110.42
340,值得孩子阅读的100本经典读物,42.42
341,墨守之道 Web服务安全架构与实践,76.42
342,Linux虚拟化数据中心实战,67.15
343,MATLAB 2020中文版从入门到精通,67.83
344,给孩子的高效学习手册（漫画版）,101.15
345,卡片笔记写作法：如何实现从阅读到写作,59.33
346,百面深度学习 算法工程师带你去面试,84.15
347,你好！北冰洋,101.83
348,管家婆软件实战操作教程（财贸双全版）,50.92
349,UG NX中文版三维电气布线设计,76.42
350,那些年，我们一起写过的逻辑,84.92
351,C/C++代码调试的艺术,76.33
352,炒股进阶：MACD交易技术从入门到精通,59.42
353,移动互联网运营实训（中级）,46.75
354,思科网络技术学院教程（第7版）：交换+路由+无线基础,72.25
355,学电脑从入门到精通（Windows 11+Office 2021）,67.92
356,了不起的人工智能,83.30
357,鸿蒙应用开发实战,67.15
358,内生安全 新一代网络安全框架体系与实践,75.65
359,深度探索大金字塔：起源、结构与建造方式,84.92
360,DK高效学习法,83.30
361,游戏数值设计,76.42
362,Python机器学习实战,58.65
363,从零开始 Python快速入门教程,59.42
364,Jupyter数据科学实战,67.15
365,IPv6网络部署实战,118.92
366,鸿蒙第三方组件库应用开发实战,50.92
367,元素公仔：化学与生活（漫画版）,50.92
368,Spring实战 第5版,84.15
369,iOS 14开发指南【进QQ群414744032索取配套资源】,110.42
370,Spring 5攻略,127.42
371,Scratch 3.0少儿游戏趣味编程2,58.65
372,客户智能：客户营销与服务的数字化转型,59.42
373,微积分的故事,38.25
374,身份攻击向量,50.15
375,项目式教学之99问,59.42
376,精通MATLAB数字图像处理与识别（第2版）,84.83
377,思科网络技术学院教程（第7版）：网络简介,72.25
378,Axure RP9原型设计实战案例教材,67.92
379,网络安全的40个智慧洞见（2021）,85.00
380,中国古代科学家列传  壹,50.83
381,算法精粹：经典计算机科学问题的Python实现,50.15
382,Python股票量化交易从入门到实践,84.83
383,零基础搭建直播室与云直播平台,92.65
384,Adobe After Effects CC 2019经典教程 彩色版,101.15
385,HTTP抓包之接口自动化测试,58.65
386,代码整洁之道,84.15
387,R语言医学数据分析实战,84.83
388,科学家列传 肆,50.83
389,Scala并发编程 第2版,84.92
390,C++案例趣学,75.65
391,儿童品格的由来：社会性与人格发展 （第6版）,142.80
392,美国国家地理科学大百科,135.15
393,焦虑是头大象，如何一口一口吃掉它,50.83
394,从零开始 C语言快速入门教程,76.42
395,全国计算机等级考试教程 二级公共基础知识,31.28
396,Kubernetes快速入门,50.15
397,不正经的科学——奇妙人体的另类研究,59.42
398,一本正经玩科学,50.92
399,职场达人这样用 Excel,76.42
400,淘宝美工从入门到精通 配色设计、图片后期、视频制作、店铺装修、广告海报一本就够,76.42
401,大海的礼物：中国海洋生物手绘图鉴,50.92
402,白话自然语言处理,50.92
403,青少年物理AR智能学习卡,253.30
404,UNIX/Linux 系统管理技术手册（第5版）,142.80
405,说服力：又快又好设计完美PPT,76.42
406,敏捷整洁之道：回归本源,58.65
407,精通Kubernetes,75.65
408,Flutter 开发之旅从南到北,67.15
409,Altium Designer 20 电路设计与仿真从入门到精通,75.65
410,程序设计方法（第2版）,84.15
411,Java编程从入门到实践,75.65
412,Maya 2020 基础教材,67.92
413,Cinema 4D实战案例教材,59.42
414,网络空间安全原理与实践,59.42
415,网络空间安全原理与实践：实验指南,59.42
416,微服务实战,75.65
417,鸿蒙征途：App开发实战,76.33
418,WPS Office办公应用技巧宝典,67.92
419,拆解一切问题 如何成为解决难题的高手,50.15
420,和秋叶一起学——秒懂WPS文字处理,42.42
421,React实战,58.65
422,黑客之道 漏洞发掘的艺术 第2版,101.15
423,Java经典入门指南,67.15
424,软件接口测试实战详解,101.15
425,Python程序员面试秘笈,50.15
426,中国古代科学家列传  贰,50.83
427,TensorFlow 2 实战,67.92
428,独具匠心 做最小可行性产品（MVP）方法与实践,91.80
429,自然语言处理与计算语言学,50.15
430,DK图解科学简史：1000个伟大的发明与发现,101.15
431,从零开始 UI图标设计与制作 第3版,59.33
432,Python金融实战案例精粹,101.15
433,黑客秘笈 渗透测试实用指南 第3版,67.15
434,Python迁移学习,75.65
435,Excel其实很简单 从数据到分析报告,76.42
436,分析模式：可复用的对象模型,67.15
437,Spring Cloud微服务和分布式系统实践,101.15
438,青少年3D打印课程——轻松玩转123D Design,50.92
439,人人都是增长官：以用户为中心的增长思维与实战,67.92
440,小彗星旅行记,59.42
441,Python无监督学习,67.15
442,数学糖果1,58.65
443,了不起的化学元素,50.83
444,和秋叶一起学——秒懂WPS演示文稿,42.42
445,计算机科学概论 Python版,41.65
446,玩转思维导图 让孩子受益一生的8个思维工具,100.30
447,网络安全评估（中级）,59.33
448,管家婆软件实战操作教程（辉煌版）,59.42
449,代码精进之路 从码农到工匠,67.92
450,学会写作（少儿版）：118个创意写作练习，让你爱上写作,42.42
451,和秋叶一起学WPS Office,84.92
452,Angular开发入门与实战,67.15
453,OpenCV 4快速入门,75.65
454,数据结构和算法 Python和C++语言描述,75.65
455,Python自动化运维实战,67.15
456,计算机图形学编程 使用OpenGL和C++,58.65
457,物联网 IoT 基础 网络技术+协议+用例,118.83
458,Python密码学编程 第2版,75.65
459,图解深度学习：可视化、交互式的人工智能指南（英文版）,169.15
460,视觉之旅：神奇的化学元素（彩图卡片版）,110.42
461,软件测试工程师面试秘籍（第2版）,59.42
462,OpenGL超级宝典（第7版）,109.48
463,用户研究成长之路,58.65
464,Kubernetes从入门到实践,67.15
465,极简工作法则：如何成为领先的少数人,41.65
466,VXLAN BGP EVPN数据中心构建指南,84.92
467,麦肯锡结构化战略思维：如何想清楚、说明白、做到位,59.33
468,Simufact金属成形工艺仿真标准教程,93.33
469,BBC科技聚焦：尖端探索,50.92
470,认识无穷的八堂课 数学世界的冒险之旅,42.42
471,游戏引擎原理与实践 卷1 基础框架,92.65
472,了不起的身体语言 如何用好非语言技能,50.15
473,和秋叶一起学 秒懂WPS数据处理,42.42
474,从零开始：Excel电商数据分析,67.92
475,从零开始搭建前端监控平台,50.15
476,数学之美 第三版,58.65
477,Anaconda数据科学实战,67.15
478,考研数学高等数学辅导讲义,39.78
479,AutoCAD 2020中文版电气设计从入门到精通,93.42
480,Python忍者秘籍,67.15
481,Vim 8文本处理实战,50.15
482,AI芯片：前沿技术与创新未来,135.83
483,交互的Python：数据分析入门,67.15
484,敏捷测试实战指南,67.15
485,精通Spark数据科学,92.65
486,操作系统导论,84.15
487,AR开发权威指南：基于AR Foundation,75.65
488,编程可以很简单,58.65
489,玩转艺术的“科学家”,75.65
490,Adobe Illustrator CC 2019经典教程（彩色版）,126.65
491,隐藏的现实：平行宇宙是什么,67.92
492,Python快乐编程 中学学科创意编程实例,59.33
493,用友ERP-U8 V10财务软件完全自学教程（财务链篇）,76.42
494,从零开始：CINEMA 4D中文版案例教程,50.92
495,TongWeb中间件实用教程,67.92
496,Adobe Premiere Pro CC 2019经典教程（彩色版）,126.65
497,虫出江湖：别样的昆虫世界,110.42
498,微信公众号平台操作与版式设计全攻略,None
499,互联网基础设施与软件安全年度发展研究报告（2020）,84.83
500,“互联网+”时代高校教师教学知识发展研究,59.42
501,创客手册 12个创意电子小制作,42.42
502,Spark机器学习实战,108.80
503,图解万物：从宇宙到生命,84.83
504,5G时代的网络安全,59.42
505,BBC科技聚焦：基因奥秘,50.92
506,恶意网络环境下的Linux防御之道,58.65
507,Angular应用程序开发指南,109.65
508,破局 超越同龄人的思考与行动指南,38.25
509,Bash Cookbook中文版,50.15
510,用图形学Python 3,50.92
511,Python Qt GUI与数据可视化编程,84.15
512,以道御术——CMMI 2 .0实践指南,58.65
513,极简生活法则,41.65
514,极简管理法则,41.65
515,C++少儿编程轻松学 写给中小学生的零基础教程,67.83
516,MATLAB机器学习,58.65
517,Adobe After Effects CC 2018经典教程,58.65
518,人工智能算法 卷1 基础算法,50.15
519,JavaScript重难点实例精讲,67.83
520,数据分析通识,67.92
521,Web安全漏洞原理及实战,50.15
522,科学速读 量子物理新话,42.42
523,用“芯”探索：教你构建龙芯平台的Linux系统,108.80
524,秋叶WPS Office高效秘籍,59.42
525,机器学习精讲 全彩印刷,58.65
526,机器学习测试入门与实践,100.30
527,Scratch少儿编程高手的7个好习惯,50.92
528,自然场景文本检测算法研究,59.42
529,全国计算机等级考试上机考试题库 二级C语言,46.75
530,不正经的科学：对那些古怪问题的另类研究,42.33
531,哈佛长时记忆法 快速打造你的学习脑 记忆脑 考试脑,50.15
532,PHP 编程从入门到实践,84.15
533,Adobe Illustrator CC 2019经典教程,84.15
534,统信UOS操作系统使用教程,59.33
535,人工智能技术与大数据,58.65
536,2020区块链漫游指南,41.65
537,少儿编程之旅 趣学Python,41.65
538,敏捷中国史话,67.15
539,Python第三方库开发应用实战,84.15
540,Python期货量化交易实战,50.15
541,深度学习算法与实践,58.65
542,破茧成蝶 用户体验设计师的成长之路（第2版）,76.42
543,CSS选择器世界,50.15
544,欢迎来到宇宙 跟天体物理学家去旅行,84.92
545,拼多多开店 经营 管理 一册通,50.83
546,R绘图系统（第3版）,75.65
547,Revit 2021中文版从入门到精通,84.83
548,BBC科技聚焦：物理难题,50.92
549,移动互联网运营（中级）,50.92
550,JMeter 性能测试实战 第2版,41.65
551,SSM与Spring Boot开发实战,84.15
552,未来狂想：人类消失后的世界,59.33
553,Python少儿趣味编程,58.65
554,物联网So Easy 基于Blynk平台的IOT项目实践,58.65
555,Python 快速入门（第3版）,75.65
556,ASP.NET Core与RESTful API 开发实战,67.15
557,写给程序员的Python教程,67.15
558,Python编程基础教程,58.65
559,Linux系统运维指南：从入门到企业实战,101.83
560,我战胜了抑郁症：九个抑郁症患者真实感人的自愈故事,38.25
561,从零开始学炒股（实战操练图解版）,33.15
562,机器学习开发者指南,50.15
563,多维度思考 拥有正确判断和科学决策的100条极简法则,50.15
564,Adobe Premiere Pro CC 2018经典教程,76.42
565,用“芯”探核：龙芯派开发实战,58.65
566,计算机视觉图像与视频数据标注,58.65
567,内在自信：如何战胜形形色色的畏惧心理(刘媛媛定制版),50.83
568,PPT演讲力 重要时刻 不要输在表达上,50.15
569,量子计算：新计算革命,67.83
570,Python数学编程,50.15
571,手把手教你买基金,46.75
572,了解人类行为的50个心理学实验 从巴甫洛夫的狗到罗夏墨迹测验,50.92
573,K线图量化分析：用大数据研判股票、期货、外汇买卖点,59.33
574,计算思维与Python编程,67.15
575,网络安全的40个智慧洞见（2020）,85.00
576,来吧 一起创客 基于Mixly和Mind+平台的创客作品12例,50.15
577,图解数据结构与算法 全彩印刷,75.65
578,科学速读：爱因斯坦的新宇宙,42.42
579,写给系统管理员的Python脚本编程指南,58.65
580,Java入门经典（第8版）,75.65
581,机器学习提升法 理论与算法,92.65
582,生命蓝图 透视过去 改变现在 预演未来,50.15
583,恋爱心理必修课,50.15
584,基于Python的金融分析与风险管理,100.30
585,B端产品经理修炼手册 AI产品规划与商业落地,67.15
586,VMware vSAN超融合企业应用实战,125.80
587,Adobe Photoshop CC 2018经典教程,59.33
588,Go语言高级编程,75.65
589,深度玩转思维导图+ 掌握思维导图的88次刻意练习与20个应用场景,55.25
590,机器视觉之TensorFlow 2：入门、原理与应用实战,100.30
591,数学也可以这样学：大自然中的几何学,50.15
592,WebGL 3D开发实战详解 第2版,91.80
593,趣学数据结构,84.15
594,C++编程从入门到实践 第2版,84.15
595,Word Excel PPT办公应用从新手到高手,50.83
596,直播销讲实战一本通,63.75
597,实时数据处理和分析指南,67.15
598,人工智能实践录,58.65
599,积木中国 乐高中国经典古建筑,67.83
600,深度主动学习：基于大学课堂的教学研究与实践,75.65
601,哈利波特电影魔法书（第2版）,253.30
602,微服务中台架构开发,67.15
603,无伤跑法2：跑步技术优化与训练提升,84.15
604,计算广告 互联网商业变现的市场与技术 第2版 全彩精装版,126.65
605,瑜伽训练彩色图谱,50.92
606,个人品牌创业之路：8种能力破局创业维艰,59.42
607,深度学习训练营 21天实战TensorFlow+Keras+scikit-learn,58.65
608,价值共生 数字化时代的组织管理,66.30
609,Excel经典教程——VBA与宏,144.42
610,指数基金定投 慢慢变富,55.25
611,Python编程完全入门教程,75.65
612,1小时看懂相对论（漫画版）,50.15
613,After Effects CC中文版超级学习手册（第2版）,92.65
614,天文观测完全指南（第5版）,118.15
615,ROS机器人编程与SLAM算法解析指南,58.65
616,大数据Hadoop 3.X分布式处理实战,67.15
617,深度学习导论,41.65
618,超融合基础架构（HCI）数据中心,109.65
619,秋叶特训营 时间管理7堂课,52.70
620,基金投资从入门到精通,33.15
621,金融科技应用创新实践录（全彩印刷）,142.80
622,ASP.NET Core真机拆解,58.65
623,分布式系统设计实践,50.15
624,Scratch 3.0少儿游戏趣味编程,58.65
625,用“芯”探核 基于龙芯的Linux内核探索解析,100.30
626,基于Unity的ARCore开发实战详解 ,50.15
627,活好2 105岁国宝医师的生命日志,42.33
628,H5安全开发实践教程,59.42
629,华为防火墙实战指南,58.65
630,重构：改善既有代码的设计（第2版）,84.15
631,数字突围：私域流量的用户数字化运营体系构建,58.65
632,世界是我们的课堂 培养孩子面向未来的核心竞争力,57.80
